NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM,TRANSFORM
yy_brel_ratio_gdp,2022,12.06351822,yy_brel_ratio_gdp_res,,
yy_brel_ratio_gdp,2023,3.810786488,yy_brel_ratio_gdp_res,,
yy_brel_ratio_gdp,2024,2.162324425,yy_brel_ratio_gdp_res,,
yy_brel_ratio_gdp,2025,2.1,yy_brel_ratio_gdp_res,,
yy_brel_ratio_gdp,2026,2.768319076,yy_brel_ratio_gdp_res,,
yy_brel_ratio_gdp,2027,3.075487761,yy_brel_ratio_gdp_res,,
yy_brel_ratio_gdp,2028,3.534223,yy_brel_ratio_gdp_res,,
yy_brel_ratio_gdp,2029,4.065775207,yy_brel_ratio_gdp_res,,
yy_bexl_ratio_gdp,2022,13.58598925,yy_bexl_ratio_gdp_res,,
yy_bexl_ratio_gdp,2023,6.500434445,yy_bexl_ratio_gdp_res,,
yy_bexl_ratio_gdp,2024,3.677603025,yy_bexl_ratio_gdp_res,,
yy_bexl_ratio_gdp,2025,3.644584571,yy_bexl_ratio_gdp_res,,
yy_bexl_ratio_gdp,2026,3.775322755,yy_bexl_ratio_gdp_res,,
yy_bexl_ratio_gdp,2027,4.302365758,yy_bexl_ratio_gdp_res,,
yy_bexl_ratio_gdp,2028,4.81797503,yy_bexl_ratio_gdp_res,,
yy_bexl_ratio_gdp,2029,6.01024494,yy_bexl_ratio_gdp_res,,
yy_pudl_reval,2022,33.81903965,yy_pudl_reval_res,,
yy_pudl_reval,2023,27.98668969,yy_pudl_reval_res,,
yy_pudl_reval,2024,138.62961,yy_pudl_reval_res,,
yy_pudl_reval,2025,54.20689988,yy_pudl_reval_res,,
yy_pudl_reval,2026,56.61453581,yy_pudl_reval_res,,
yy_pudl_reval,2027,31.20588307,yy_pudl_reval_res,,
yy_pudl_reval,2028,25.29982943,yy_pudl_reval_res,,
yy_pudl_reval,2029,23.93322088,yy_pudl_reval_res,,
